"TABLE_SCHEMA","TABLE_NAME"
"contabilidad","configuracion_traslado_estado_credito"
"contabilidad","cuenta_orden_configuracion"
"contabilidad","historial_evento_credito_contable"
"contabilidad","mapeo_estado_muc"
"contabilidad","periodo_contable"
"contabilidad","reversion_asiento"
"contabilidad","tipo_transaccion_contable"
"creditos","aplicacion_pago_credito"
"creditos","aplicacion_pago_cuota"
"creditos","aprobacion_solicitud_credito"
"creditos","asignacion_oficial_credito"
"creditos","avaluo_garantia"
"creditos","cargo_credito"
"creditos","credito"
"creditos","credito_prorroga"
"creditos","credito_reestructuracion"
"creditos","credito_refinanciamiento"
"creditos","desembolso_credito"
"creditos","documento_expediente"
"creditos","expediente_credito"
"creditos","garantia_credito"
"creditos","historial_asignacion_oficial_credito"
"creditos","pago_credito"
"creditos","persona_vinculada_credito"
"creditos","plan_pago_credito"
"creditos","producto_crediticio"
"creditos","recibo_pago_credito"
"creditos","solicitud_credito"
"creditos","tasa_variable_credito"
"cumplimiento","alerta_cumplimiento"
"cumplimiento","alerta_cumplimiento_cliente"
"cumplimiento","bitacora_debida_diligencia_cliente"
"cumplimiento","caso_cumplimiento"
"cumplimiento","coincidencia_lista"
"cumplimiento","coincidencia_lista_cliente"
"cumplimiento","declaracion_beneficiario_final_cliente"
"cumplimiento","declaracion_origen_fondos_cliente"
"cumplimiento","documento_expediente_cliente"
"cumplimiento","documento_pla"
"cumplimiento","evaluacion_kyc_cliente"
"cumplimiento","expediente_pla"
"cumplimiento","expediente_regulatorio_cliente"
"cumplimiento","lista_control_cumplimiento"
"cumplimiento","lista_restrictiva"
"cumplimiento","matriz_alerta_temprana"
"cumplimiento","parametro_alerta_aml"
"cumplimiento","perfil_transaccional"
"cumplimiento","persona_pla"
"cumplimiento","reporte_operacion_cliente"
"cumplimiento","seguimiento_caso_cumplimiento"
"cxc","anticipo_cliente"
"cxc","aplicacion_anticipo_cliente"
"cxc","cobro_cliente"
"cxc","cobro_cliente_detalle"
"cxc","documento_cobrar"
"cxc","movimiento_documento_cobrar"
"cxp","anticipo_proveedor"
"cxp","aplicacion_anticipo_proveedor"
"cxp","documento_pagar"
"cxp","movimiento_documento_pagar"
"cxp","pago_proveedor"
"cxp","pago_proveedor_detalle"
"empresa","configuracion_general"
"empresa","empresa"
"empresa","sucursal"
"inventario","bodega"
"inventario","categoria_producto"
"inventario","producto"
"inventario","unidad_medida"
"menu","modulo"
"menu","modulo_rol"
"nomina","concepto_nomina"
"nomina","descuento_fijo_empleado"
"nomina","devengado_variable_periodo"
"nomina","envio_esquela_pago"
"nomina","esquela_pago"
"nomina","esquema_variable_empleado"
"nomina","estado_envio_esquela"
"nomina","estado_esquela_pago"
"nomina","estado_nomina"
"nomina","estado_periodo_nomina"
"nomina","liquidacion"
"nomina","liquidacion_detalle"
"nomina","meta_variable_empleado"
"nomina","movimiento_variable_empleado"
"nomina","nomina"
"nomina","nomina_detalle"
"nomina","nomina_detalle_concepto"
"nomina","parametro_contribucion"
"nomina","parametro_nomina"
"nomina","periodo_nomina"
"nomina","prestamo_empleado"
"nomina","regla_esquema_variable"
"nomina","tabla_ir_laboral"
"nomina","tipo_concepto_nomina"
"nomina","tipo_esquema_variable"
"operacion","aplicacion_dispensa_credito"
"operacion","aplicacion_dispensa_credito_detalle"
"operacion","bitacora_dispensa_credito"
"operacion","bitacora_operativa"
"operacion","concepto_dispensa"
"operacion","estado_dispensa"
"operacion","nota_ajuste"
"operacion","reversion_operacion"
"operacion","solicitud_anulacion_pago"
"operacion","solicitud_dispensa_credito"
"operacion","solicitud_dispensa_credito_detalle"
"operacion","tipo_dispensa"
"parametros","agrupacion_credito"
"parametros","categoria_riesgo"
"parametros","denominacion_moneda"
"parametros","lote_importacion_tipo_cambio"
"parametros","tipo_cambio"
"parametros","tipo_cambio_institucional"
"parametros","tipo_cambio_oficial"
"parametros","tipo_documento_expediente"
"parametros","tipo_garantia"
"proveedores","proveedor"
"regulatorio","cierre_credito"
"regulatorio","conami_norma"
"regulatorio","conami_regla"
"regulatorio","historial_clasificacion"
"regulatorio","historial_provision"
"regulatorio","lote_cierre"
"regulatorio","normativa_cumplimiento"
"regulatorio","rango_mora"
"regulatorio","regla_clasificacion"
"regulatorio","regla_provision"
"regulatorio","version_regla"
"rrhh","accion_personal"
"rrhh","banco"
"rrhh","cargo"
"rrhh","contrato"
"rrhh","departamento"
"rrhh","empleado"
"rrhh","empleado_supervision"
"rrhh","estado_empleado"
"rrhh","estructura_organizativa_nodo"
"rrhh","expediente_documento"
"rrhh","hora_extra"
"rrhh","horario_laboral"
"rrhh","marcacion_reloj"
"rrhh","solicitud_permiso"
"rrhh","tipo_contrato"
"rrhh","tipo_hora_extra"
"rrhh","tipo_permiso"
"rrhh","vacacion"
"seguridad","bitacora_acceso"
"seguridad","parametro_seguridad"
"seguridad","permiso"
"seguridad","rol"
"seguridad","rol_permiso"
"seguridad","sesion_usuario"
"seguridad","solicitud_recuperacion_clave"
"seguridad","usuario"
"seguridad","usuario_modulo"
"seguridad","usuario_rol"
"ventas","factura"
"ventas","factura_detalle"
"ventas","lista_precio"
"ventas","lista_precio_detalle"
"ventas","nota_credito"
