"foreign_key","parent_schema","parent_table","parent_column","referenced_schema","referenced_table","referenced_column"
"FK_factura_proveedor_moneda","compras","factura_proveedor","id_moneda","administracion","moneda","id_moneda"
"FK_factura_proveedor_proveedor","compras","factura_proveedor","id_proveedor","proveedores","proveedor","id_proveedor"
"FK_factura_proveedor_secuencia","compras","factura_proveedor","id_secuencia_documento","administracion","secuencia_documento","id_secuencia_documento"
"FK_factura_proveedor_sucursal","compras","factura_proveedor","id_sucursal","empresa","sucursal","id_sucursal"
"FK_factura_proveedor_detalle_centro_costo","compras","factura_proveedor_detalle","id_centro_costo","contabilidad","centro_costo","id_centro_costo"
"FK_factura_proveedor_detalle_cuenta_gasto","compras","factura_proveedor_detalle","codigo_cuenta_gasto","contabilidad","catalogo_cuenta_muc","codigo_cuenta"
"FK_factura_proveedor_detalle_empresa","compras","factura_proveedor_detalle","id_empresa","empresa","empresa","id_empresa"
"FK_factura_proveedor_detalle_factura","compras","factura_proveedor_detalle","id_factura_proveedor","compras","factura_proveedor","id_factura_proveedor"
"FK_factura_proveedor_detalle_impuesto","compras","factura_proveedor_detalle","id_impuesto","administracion","impuesto","id_impuesto"
"FK_factura_proveedor_detalle_producto","compras","factura_proveedor_detalle","id_producto","inventario","producto","id_producto"
"FK_asignacion_plantilla_plantilla","configuracion","asignacion_plantilla_formato","id_plantilla_formato","configuracion","plantilla_formato","id_plantilla_formato"
"FK_asignacion_plantilla_tipo","configuracion","asignacion_plantilla_formato","id_tipo_documento_formato","configuracion","tipo_documento_formato","id_tipo_documento_formato"
"FK_bitacora_formato_plantilla","configuracion","bitacora_formato","id_plantilla_formato","configuracion","plantilla_formato","id_plantilla_formato"
"FK_bitacora_formato_version","configuracion","bitacora_formato","id_plantilla_formato_version","configuracion","plantilla_formato_version","id_plantilla_formato_version"
"FK_bloque_plantilla_version","configuracion","bloque_plantilla_formato","id_plantilla_formato_version","configuracion","plantilla_formato_version","id_plantilla_formato_version"
"FK_documento_generado_plantilla","configuracion","documento_generado","id_plantilla_formato","configuracion","plantilla_formato","id_plantilla_formato"
"FK_documento_generado_tipo","configuracion","documento_generado","id_tipo_documento_formato","configuracion","tipo_documento_formato","id_tipo_documento_formato"
"FK_documento_generado_version","configuracion","documento_generado","id_plantilla_formato_version","configuracion","plantilla_formato_version","id_plantilla_formato_version"
"FK_parametro_impresion_formato_plantilla","configuracion","parametro_impresion_formato","id_plantilla_formato","configuracion","plantilla_formato","id_plantilla_formato"
"FK_parametro_impresion_preset","configuracion","parametro_impresion_formato","id_preset_impresion_formato","configuracion","preset_impresion_formato","id_preset_impresion_formato"
"FK_plantilla_formato_tipo_documento","configuracion","plantilla_formato","id_tipo_documento_formato","configuracion","tipo_documento_formato","id_tipo_documento_formato"
"FK_plantilla_formato_version_plantilla","configuracion","plantilla_formato_version","id_plantilla_formato","configuracion","plantilla_formato","id_plantilla_formato"
"FK_plantilla_variable_plantilla","configuracion","plantilla_variable_permitida","id_plantilla_formato","configuracion","plantilla_formato","id_plantilla_formato"
"FK_plantilla_variable_variable","configuracion","plantilla_variable_permitida","id_variable_formato","configuracion","variable_formato","id_variable_formato"
"FK_recurso_visual_formato_plantilla","configuracion","recurso_visual_formato","id_plantilla_formato","configuracion","plantilla_formato","id_plantilla_formato"
"FK_variable_formato_tipo_documento","configuracion","variable_formato","id_tipo_documento_formato","configuracion","tipo_documento_formato","id_tipo_documento_formato"
"FK_asiento_asiento_reverso","contabilidad","asiento","id_asiento_reverso","contabilidad","asiento","id_asiento"
"FK_asiento_empresa","contabilidad","asiento","id_empresa","empresa","empresa","id_empresa"
"FK_asiento_sucursal","contabilidad","asiento","id_sucursal","empresa","sucursal","id_sucursal"
"FK_asiento_detalle_asiento","contabilidad","asiento_detalle","id_asiento","contabilidad","asiento","id_asiento"
"FK_asiento_detalle_centro_costo","contabilidad","asiento_detalle","id_centro_costo","contabilidad","centro_costo","id_centro_costo"
"FK_asiento_detalle_cliente","contabilidad","asiento_detalle","id_cliente","clientes","cliente","id_cliente"
"FK_centro_costo_empresa","contabilidad","centro_costo","id_empresa","empresa","empresa","id_empresa"
"FK_centro_costo_sucursal","contabilidad","centro_costo","id_sucursal","empresa","sucursal","id_sucursal"
"FK_configuracion_asiento_transaccion_empresa","contabilidad","configuracion_asiento_transaccion","id_empresa","empresa","empresa","id_empresa"
"FK_configuracion_asiento_transaccion_tipo","contabilidad","configuracion_asiento_transaccion","codigo_tipo_transaccion_contable","contabilidad","tipo_transaccion_contable","codigo_tipo_transaccion_contable"
"FK_configuracion_asiento_transaccion_detalle","contabilidad","configuracion_asiento_transaccion_detalle","id_configuracion_asiento_transaccion","contabilidad","configuracion_asiento_transaccion","id_configuracion_asiento_transaccion"
"FK_historial_evento_credito_contable_asiento","contabilidad","historial_evento_credito_contable","id_asiento","contabilidad","asiento","id_asiento"
"FK_historial_evento_credito_contable_credito","contabilidad","historial_evento_credito_contable","id_credito","creditos","credito","id_credito"
"FK_mapeo_estado_version","contabilidad","mapeo_estado_muc","id_version_regla","regulatorio","version_regla","id_version_regla"
"FK_periodo_contable_empresa","contabilidad","periodo_contable","id_empresa","empresa","empresa","id_empresa"
"FK_reversion_asiento_original","contabilidad","reversion_asiento","id_asiento_original","contabilidad","asiento","id_asiento"
"FK_reversion_asiento_reversion","contabilidad","reversion_asiento","id_asiento_reversion","contabilidad","asiento","id_asiento"
"FK_aplicacion_pago_credito_pago","creditos","aplicacion_pago_credito","id_pago_credito","creditos","pago_credito","id_pago_credito"
"FK_aplicacion_pago_cuota_pago","creditos","aplicacion_pago_cuota","id_pago_credito","creditos","pago_credito","id_pago_credito"
"FK_aplicacion_pago_cuota_plan","creditos","aplicacion_pago_cuota","id_plan_pago_credito","creditos","plan_pago_credito","id_plan_pago_credito"
"FK_aprobacion_solicitud_credito","creditos","aprobacion_solicitud_credito","id_solicitud_credito","creditos","solicitud_credito","id_solicitud_credito"
"FK_creditos_asignacion_oficial_credito_credito","creditos","asignacion_oficial_credito","id_credito","creditos","credito","id_credito"
"FK_creditos_asignacion_oficial_credito_usuario","creditos","asignacion_oficial_credito","id_usuario_oficial","seguridad","usuario","id_usuario"
"FK_creditos_asignacion_oficial_credito_usuario_asigna","creditos","asignacion_oficial_credito","id_usuario_asigna","seguridad","usuario","id_usuario"
"FK_avaluo_garantia_garantia","creditos","avaluo_garantia","id_garantia_credito","creditos","garantia_credito","id_garantia_credito"
"FK_credito_agrupacion_credito","creditos","credito","id_agrupacion_credito","parametros","agrupacion_credito","id_agrupacion_credito"
